	Kingdom	Phylum	Class	Order	Family	Genus	Species
22	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	NA
25	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
26	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
32	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	NA
44	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	NA
48	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	NA
49	Bacteria	NA	NA	NA	NA	NA	NA
50	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA
53	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	NA
54	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	cocleatum
55	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	NA
59	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
69	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	NA
72	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
73	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
78	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	NA
80	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	NA
83	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
88	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
94	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
95	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Sporobacterium	NA
96	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA
97	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
99	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
101	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
102	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	NA
103	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	NA
104	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
105	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
110	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Moryella	NA
114	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
120	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
124	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
125	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
126	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	oxytoca
151	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	NA
153	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	NA
154	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	NA
157	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
167	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	NA
175	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
176	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
181	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA
188	Bacteria	Firmicutes	NA	NA	NA	NA	NA
211	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA	NA
